Account_ID,Transaction_Timestamp,Factor_A,Factor_B,Factor_C,Factor_D,Factor_E,Response,Transaction_Status,Month
3,2009-03-09T00:12:28Z,2,6,VI,20,B,1020,Approved,Mar
12,2009-03-01T08:31:28Z,8,18,AX,20,NULL,1020,Approved,Mar
24,2009-03-01T08:12:31Z,2,6,VI,20,G,1320,Declined,Mar
24,2009-03-01T21:11:28Z,2,6,VI,20,G,1320,Declined,Mar
24,2009-03-02T09:22:40Z,2,6,VI,20,G,1320,Declined,Mar
36,2009-03-24T00:41:44Z,2,6,VI,20,H,1020,Approved,Mar
41,2009-03-11T12:02:39Z,8,18,AX,20,NULL,1020,Approved,Mar
45,2009-03-03T09:07:40Z,2,6,VI,20,H,1020,Approved,Mar
55,2009-03-01T16:22:52Z,7,15,MC,20,MPL,1020,Approved,Mar
68,2009-03-12T14:38:26Z,2,6,VI,25,B,1020,Approved,Mar
68,2009-03-28T00:12:38Z,2,6,VI,25,B,1020,Approved,Mar
74,2009-03-13T09:51:07Z,10,6,DI,20,NULL,1020,Approved,Mar
76,2009-03-08T19:16:42Z,7,15,MC,20,NULL,1020,Approved,Mar
83,2009-03-12T12:41:17Z,2,6,VI,35,G,1020,Approved,Mar
84,2009-03-09T11:04:10Z,2,6,VI,20,H,1020,Approved,Mar
84,2009-03-26T10:33:17Z,2,6,VI,20,H,1020,Approved,Mar
92,2009-03-25T22:31:07Z,7,15,MC,20,NULL,1020,Approved,Mar
93,2009-03-08T11:27:08Z,2,6,VI,20,H,1020,Approved,Mar
104,2009-03-23T15:23:17Z,7,15,MC,20,NULL,1020,Approved,Mar
112,2009-03-30T13:14:01Z,7,15,MC,20,MPL,1020,Approved,Mar
118,2009-03-21T21:33:19Z,2,6,VI,20,H,1020,Approved,Mar
120,2009-03-13T13:55:39Z,8,18,AX,20,NULL,1020,Approved,Mar
125,2009-03-12T19:25:59Z,10,6,DI,20,NULL,1020,Approved,Mar
132,2009-03-19T21:26:58Z,2,6,VI,20,H,1020,Approved,Mar
143,2009-03-01T16:28:11Z,2,6,VI,20,A,1020,Approved,Mar
143,2009-03-13T19:44:24Z,2,6,VI,20,A,1020,Approved,Mar
150,2009-03-02T23:14:10Z,2,6,VI,20,C,1020,Approved,Mar
150,2009-03-09T20:49:15Z,2,6,VI,20,C,1020,Approved,Mar
154,2009-03-07T11:50:18Z,7,15,MC,20,MWE,1020,Approved,Mar
159,2009-03-16T14:35:51Z,8,18,AX,20,NULL,1020,Approved,Mar
167,2009-03-25T19:27:00Z,2,6,VI,20,C,1020,Approved,Mar
173,2009-03-14T22:48:54Z,2,6,VI,20,B,1020,Approved,Mar
173,2009-03-26T10:24:08Z,2,6,VI,20,B,1020,Approved,Mar
184,2009-03-15T15:51:24Z,2,6,VI,20,A,1020,Approved,Mar
192,2009-03-28T14:40:55Z,10,6,DI,20,NULL,1020,Approved,Mar
197,2009-03-27T14:07:06Z,8,18,AX,20,NULL,1020,Approved,Mar
199,2009-03-30T13:44:56Z,7,15,MC,20,NULL,1020,Approved,Mar
200,2009-03-24T11:35:49Z,7,15,MC,20,MCC,1020,Approved,Mar
200,2009-03-31T23:13:46Z,7,15,MC,20,MCC,1020,Approved,Mar
220,2009-03-10T15:16:25Z,7,15,MC,10,NULL,1020,Approved,Mar
236,2009-03-14T00:11:24Z,2,6,VI,20,C,1020,Approved,Mar
236,2009-03-30T00:09:31Z,2,6,VI,20,C,1020,Approved,Mar
239,2009-03-17T13:00:39Z,7,15,MC,20,NULL,1020,Approved,Mar
239,2009-03-24T13:15:12Z,7,15,MC,20,NULL,1020,Approved,Mar
241,2009-03-02T00:10:48Z,2,6,VI,20,B,1020,Approved,Mar
241,2009-03-18T00:10:28Z,2,6,VI,20,B,1020,Approved,Mar
243,2009-03-13T22:14:23Z,2,6,VI,20,B,1020,Approved,Mar
246,2009-03-02T23:14:35Z,7,15,MC,20,NULL,1020,Approved,Mar
248,2009-03-19T12:55:18Z,7,15,MC,20,NULL,1020,Approved,Mar
269,2009-03-05T23:45:49Z,7,15,MC,20,MPL,1240,Declined,Mar
271,2009-03-05T14:15:44Z,7,15,MC,35,NULL,1020,Approved,Mar
271,2009-03-05T14:21:02Z,7,15,MC,25,NULL,1885,Approved,Mar
276,2009-03-15T16:53:01Z,2,6,VI,20,C,1020,Approved,Mar
276,2009-03-31T00:14:45Z,2,6,VI,20,C,1020,Approved,Mar
311,2009-03-18T00:10:13Z,7,15,MC,20,NULL,1020,Approved,Mar
314,2009-03-28T23:22:52Z,2,6,VI,20,B,1020,Approved,Mar
350,2009-03-02T05:49:22Z,7,15,MC,20,MPL,1020,Approved,Mar
354,2009-03-16T00:13:40Z,8,18,AX,20,NULL,1020,Approved,Mar
386,2009-03-12T10:23:25Z,2,6,VI,20,G,1020,Approved,Mar
386,2009-03-28T00:09:15Z,2,6,VI,20,G,1020,Approved,Mar
396,2009-03-28T16:37:26Z,2,6,VI,20,C,1320,Declined,Mar
429,2009-03-20T21:19:55Z,10,6,DI,20,NULL,1020,Approved,Mar
430,2009-03-15T12:11:27Z,7,15,MC,20,MPL,1020,Approved,Mar
437,2009-03-30T16:26:03Z,10,6,DI,20,NULL,1020,Approved,Mar
438,2009-03-15T02:50:04Z,8,18,AX,20,NULL,1020,Approved,Mar
452,2009-03-22T13:38:23Z,2,6,VI,20,B,1020,Approved,Mar
472,2009-03-11T10:12:23Z,2,6,VI,20,A,1020,Approved,Mar
479,2009-03-23T15:28:31Z,8,18,AX,20,NULL,1020,Approved,Mar
499,2009-03-16T20:56:59Z,2,6,VI,20,A,1020,Approved,Mar
499,2009-03-26T16:43:11Z,2,6,VI,20,A,1020,Approved,Mar
